id,source,offer,latitude,longitude,setting,area,object_type,floor,floors,rooms,metro_id,metro_remoteness,material,segment,kitchen,balcony,renovation,additions,price,price_per_metre
e5fec617-9363-40a8-8e8a-33421ebe4cad,cian.ru,Актуально,55.52117,37.35292,Жилое помещение (квартира),27.6,Встроенное помещение,7,14,студия,Метро отсутсвует,20000.0,монолитный,0,0.0,Нет,Информация неизвестна,-,6390000,231521.73913043478
0296792f-a0db-477a-84af-c80be588116f,cian.ru,Актуально,55.812221,37.632368,Жилое помещение (квартира),25.9,Встроенное помещение,3,4,студия,Алексеевская,10.0,кирпичный,0,0.0,Нет,евро,-,6475000,250000.0
44c2e008-295a-46e4-89f4-2dc152d923b2,cian.ru,Актуально,55.708927,37.60452,Жилое помещение (квартира),18.2,Встроенное помещение,1,5,студия,Тульская,21.0,кирпичный,0,0.0,Нет,косметический,-,3390000,186263.73626373627
6b63ea18-4596-4276-bf6b-7788d23357f0,cian.ru,Актуально,55.676748,37.627409,Жилое помещение (квартира),20.5,Встроенное помещение,1,8,студия,Нагатинская,16.0,блочный,1960,0.0,Нет,требует ремонта,-,5650000,275609.756097561
5428671b-f2d0-4a15-959a-a08de4ecc5f5,cian.ru,Актуально,55.745701,37.877877,Жилое помещение (квартира),18.5,Встроенное помещение,1,17,студия,Новокосино,18.0,панельный,1987,0.0,Да,требует ремонта,-,4300000,232432.43243243243
f777876b-0330-4cc6-819a-57ecebb27bfa,cian.ru,Актуально,55.688299,37.855177,Жилое помещение (квартира),17.5,Встроенное помещение,1,14,студия,Жулебино,7.0,панельный,1995,0.0,Нет,требует ремонта,-,4550000,260000.0
ad831b1e-1ab5-466f-9637-cad7376581f1,cian.ru,Актуально,55.812251,37.804718,Жилое помещение (квартира),15.6,Встроенное помещение,1,9,студия,Щёлковская,5.0,панельный,1968,0.0,Да,требует ремонта,-,4150000,266025.64102564106
b7b34207-4b0a-43aa-ba1e-151581db219b,cian.ru,Актуально,55.702896,37.922362,Жилое помещение (квартира),24.9,Встроенное помещение,2,17,студия,Некрасовка,7.0,панельный,2010,0.0,Да,требует ремонта,-,5100000,204819.27710843374
6e026685-c09d-4c27-a891-1534a81c51ad,cian.ru,Актуально,55.781499,37.832629,Жилое помещение (квартира),14.7,Встроенное помещение,1,9,студия,Метро отсутсвует,20000.0,панельный,0,0.0,Нет,требует ремонта,-,3350227,227906.5986394558
71af1cb5-3038-436a-85f8-e8085bb9cce7,cian.ru,Актуально,55.702896,37.922362,Жилое помещение (квартира),24.9,Встроенное помещение,2,17,студия,Некрасовка,7.0,панельный,2010,0.0,Да,требует ремонта,-,5100000,204819.27710843374
fa883bea-5235-4376-8449-cad9007429c2,cian.ru,Актуально,55.765924,37.634991,Жилое помещение (квартира),30.0,Встроенное помещение,3,5,студия,Тургеневская,3.0,кирпичный,1901,0.0,Нет,евро,-,12500000,416666.6666666667
1d072fb9-9e2c-45b3-8509-c458bc14a277,cian.ru,Актуально,55.762424,37.637335,Жилое помещение (квартира),25.0,Встроенное помещение,4,7,студия,Чистые пруды,5.0,кирпичный,1912,0.0,Нет,евро,-,10750000,430000.0
64098ba6-4ead-435e-96fe-1fe4f8b6b550,cian.ru,Актуально,55.758063,37.640991,Жилое помещение (квартира),20.0,Встроенное помещение,3,6,студия,Китай-город,11.0,кирпичный,1917,0.0,Нет,евро,-,9000000,450000.0
fd463c80-ef45-4d63-8325-13dba6905b74,cian.ru,Актуально,55.820566,37.522989,Жилое помещение (квартира),22.3,Встроенное помещение,3,6,студия,Войковская,29.0,кирпичный,0,0.0,Нет,требует ремонта,-,5528547,247916.9058295964
972e28af-d9ba-40ee-addb-0d7370240ae8,cian.ru,Актуально,55.742448,37.707521,Жилое помещение (квартира),22.0,Встроенное помещение,2,4,студия,Авиамоторная,27.0,кирпичный,2021,0.0,Нет,евро,-,11400000,518181.8181818182
c7bf16cc-71ad-4945-a73e-26fa4af34d5b,cian.ru,Актуально,55.756675,37.549588,Жилое помещение (квартира),13.7,Встроенное помещение,2,22,студия,Выставочная,14.0,панельный,0,0.0,Нет,дизайнерский,-,7890000,575912.4087591241
6d5732bb-7930-4a37-8e5d-23c20f68dfd8,cian.ru,Актуально,55.812221,37.632368,Жилое помещение (квартира),27.0,Встроенное помещение,2,4,студия,Алексеевская,10.0,кирпичный,0,0.0,Нет,евро,-,6750000,250000.0
46376229-a793-43ae-bc4a-095aac69f709,cian.ru,Актуально,55.763012,37.633562,Жилое помещение (квартира),25.0,Встроенное помещение,3,3,студия,Чистые пруды,7.0,кирпичный,2022,0.0,Нет,евро,-,13200000,528000.0
5d150b9a-1c55-4ca1-a0b9-562c1cfe463a,cian.ru,Актуально,55.810602,37.617384,Жилое помещение (квартира),23.6,Встроенное помещение,1,5,студия,Бутырская,23.0,кирпичный,0,0.0,Нет,евро,-,5105034,216315.0
ffb5d7a7-108e-4105-a75a-605d8f30ad8d,cian.ru,Актуально,55.850479,37.537955,Жилое помещение (квартира),14.9,Встроенное помещение,1,5,студия,Лихоборы,29.0,кирпичный,0,0.0,Нет,дизайнерский,-,2847061,191077.91946308725
bc76d564-aa3e-4372-b32a-e5d9143788e0,cian.ru,Актуально,55.699,37.431756,Жилое помещение (квартира),18.2,Встроенное помещение,1,5,студия,Метро отсутсвует,20000.0,кирпичный,1960,0.0,Нет,евро,-,3657000,200934.06593406593
f382699a-0ebe-4534-8ee4-316c9f12775e,cian.ru,Актуально,55.850483,37.537956,Жилое помещение (квартира),15.7,Встроенное помещение,2,5,студия,Лихоборы,29.0,кирпичный,0,0.0,Нет,дизайнерский,-,5250000,334394.90445859876
8c5fb28d-f8fa-4b7b-957b-10a04458b7ac,cian.ru,Актуально,55.709698,37.612389,Жилое помещение (квартира),16.1,Встроенное помещение,3,4,студия,Тульская,11.0,кирпичный,0,0.0,Нет,дизайнерский,-,7093189,440570.7453416149
019e86f0-a7dd-4335-a7eb-fb4eae34be2f,cian.ru,Актуально,55.850479,37.537955,Жилое помещение (квартира),15.0,Встроенное помещение,2,5,студия,Лихоборы,29.0,монолитный,0,0.0,Нет,дизайнерский,-,3850000,256666.66666666666
b1ec77be-9f09-4540-98e2-bb496576f1bd,cian.ru,Актуально,55.788601,37.641494,Жилое помещение (квартира),16.4,Встроенное помещение,2,4,студия,Проспект Мира,17.0,кирпичный,0,0.0,Нет,дизайнерский,-,5812000,354390.2439024391
d312cde3-a8f8-4c01-be37-79ed29e4f1ee,cian.ru,Актуально,55.810278,37.616845,Жилое помещение (квартира),20.0,Встроенное помещение,10,10,студия,Бутырская,22.0,панельный,0,0.0,Нет,дизайнерский,-,5041575,252078.75
945691ca-23d7-49b2-a697-b6e1bbb7f380,cian.ru,Актуально,55.811133,37.514688,Жилое помещение (квартира),19.0,Встроенное помещение,5,14,студия,Сокол,13.0,кирпичный,1860,0.0,Нет,евро,-,5415000,285000.0
97368cae-f07d-4ec7-8ed3-1a8d4e795cfc,cian.ru,Актуально,55.774239,37.691378,Жилое помещение (квартира),31.0,Встроенное помещение,2,2,студия,Бауманская,15.0,кирпичный,0,0.0,Нет,дизайнерский,-,12600000,406451.6129032258
